Ticker,Fiscal_Year,Period_End_Date,Revenue_Millions_USD,Cost_Of_Revenue_Millions_USD,Gross_Profit_Millions_USD,Net_Income_Millions_USD,Diluted_Shares_Millions,Diluted_EPS_USD,Operating_Cash_Flow_Millions_USD,CapEx_Millions_USD,Free_Cash_Flow_Millions_USD,Total_Cash_Millions_USD,Total_Current_Assets_Millions_USD,Total_Current_Liabilities_Millions_USD,Working_Capital_Millions_USD,Total_Debt_Millions_USD,Total_Assets_Millions_USD,Total_Liabilities_Millions_USD,Total_Equity_Millions_USD,Goodwill_And_Intangibles_Millions_USD,Data_Source
AMD,2017,2017-12-30,5329.0,3466.0,1863.0,-33.0,952.0,-0.035,12.0,113.0,-101.0,1185.0,2622.0,1486.0,1136.0,1325.0,3540.0,0.0,3540.0,289.0,SEC EDGAR
AMD,2016,2016-12-31,4272.0,3316.0,956.0,-498.0,835.0,-0.596,81.0,77.0,4.0,1264.0,2530.0,1346.0,1184.0,1435.0,3321.0,0.0,3321.0,289.0,SEC EDGAR
AMD,2015,2015-12-26,3991.0,2911.0,1080.0,-660.0,783.0,-0.843,-226.0,96.0,-322.0,785.0,2320.0,1403.0,917.0,2485.0,3109.0,0.0,3109.0,278.0,SEC EDGAR
AMD,2014,2014-12-27,5506.0,3667.0,1839.0,-403.0,768.0,-0.525,-98.0,95.0,-193.0,805.0,2736.0,1440.0,1296.0,2374.0,3767.0,0.0,3767.0,385.0,SEC EDGAR
AMD,2013,2013-12-28,5299.0,3321.0,1978.0,-83.0,754.0,-0.11,-148.0,84.0,-232.0,869.0,2884.0,1618.0,1266.0,2101.0,4337.0,0.0,4337.0,631.0,SEC EDGAR
AMD,2012,2012-12-29,5422.0,4187.0,1235.0,-1183.0,741.0,-1.596,-338.0,133.0,-471.0,549.0,2265.0,1397.0,868.0,2024.0,4000.0,0.0,4000.0,649.0,SEC EDGAR
AMD,2011,2011-12-31,6568.0,3628.0,2940.0,491.0,742.0,0.662,382.0,250.0,132.0,869.0,3229.0,1774.0,1455.0,489.0,4954.0,0.0,4954.0,331.0,SEC EDGAR
AMD,2010,2010-12-25,6494.0,3533.0,2961.0,471.0,733.0,0.643,-412.0,148.0,-560.0,606.0,3594.0,1674.0,1920.0,4.0,4964.0,0.0,4964.0,360.0,SEC EDGAR
AMKR,2025,2025-12-31,6707.981,5769.382,938.599,373.895,248.454,1.505,1095.606,904.614,190.992,1991.385,3884.761,1711.972,2172.789,1282.816,8136.309,3630.022,4506.287,18.003,SEC EDGAR
AMKR,2024,2024-12-31,6317.692,5384.48,933.212,354.012,247.818,1.429,1088.868,743.796,345.072,1646.537,3073.472,1455.275,1618.197,923.431,6944.328,2761.163,4183.165,17.947,SEC EDGAR
